Country,Company,Type,Focus,Location,Notes
UK,100% Effective,LSS Training,Broad LSS training accessible Lean,Various,Ideal for VariScout low-cost pitch
UK,Catalyst Consulting,LSS Training,Premium LSS linked to BQF,Various,British Quality Foundation ties
UK,The Lean Six Sigma Company,LSS Training,International university partnerships,Various,Bedfordshire uni partnership
UK,Capella Associates,LSS Training,Apprenticeship levy-funded CI,Various,Huge learner network
UK,Burge Hughes Walsh,LSS Training,Systems Engineering & Lean,Various,Strong BAE/Rolls-Royce ties
UK,Bourton Group,Consultancy,Manufacturing/Aero/Construction,Various,"Change for the Better"
UK,Suiko (Turner & Townsend),Consultancy,Construction and lean manufacturing,Various,—
UK,S A Partners,Consultancy,Shingo Prize enterprise excellence,Various,F&B and utilities focus
UK,Newton Europe,Consultancy,Defence Healthcare Retail data-driven,Various,Operational improvement
UK,Chartwell Consulting,Consultancy,Rapid productivity 20-50% gains,Various,Manufacturing specialist
UK,CQI (Chartered Quality Inst.),Association,Professional body for quality experts,London,International Quality Awards
UK,Make UK,Association,UK manufacturing representative voice,London,Major conferences and tech hubs
UK,SMMT,Association,Motor Manufacturers and Traders,London,Auto industry access
UK,ADS Group,Association,Aerospace Defence Security Space,London,BAE/Rolls-Royce supply chain
UK,The IET,Association,Engineering and Technology,London,Digital Manufacturing focus
