Country,Rank,Company,Industry,Location,Employees,S1_OpEx,S2_Size,S3_Minitab,S4_Azure,S5_Reach,Total_Score,Scale,Normalized_Total,Market_Tier,Segment,Pitch_Angle,Notes
Austria,1,RHI Magnesita,Steel/Refractories,Vienna,12000,10,9,9,10,10,48,1-10,24,3,HOT,Azure Beachhead,Won MS Intelligent Mfg Award. Strategic Azure partnership.
Austria,2,Magna Steyr,Automotive,Graz,13000,10,10,9,9,9,47,1-10,24,3,HOT,IATF + Minitab,LSS + Minitab in job ads. Cloud-based simulation.
Austria,3,voestalpine,Steel,Linz,51200,10,10,8,9,9,46,1-10,23,3,HOT,Smart Factory AI,Dedicated Data Science team. LSS training global.
Austria,4,Andritz AG,Machinery,Graz,29700,9,10,9,9,8,45,1-10,23,3,HOT,Azure IoT Metris,CI Specialist needs Minitab + LSS BB. Metris on Azure.
Austria,5,Infineon Austria,Electronics,Villach,5400,10,8,8,9,10,45,1-10,23,3,HOT,Zero Defect,Six Sigma for maintenance. Data-rich environment.
Austria,6,Red Bull,Food/Bev,Salzburg,13000,9,9,8,8,10,44,1-10,22,3,HOT,LSS at scale,"Lead large-scale Lean Six Sigma projects."
Austria,7,AT&S,Electronics,Leoben,13000,9,9,9,8,9,44,1-10,22,3,HOT,LSS Consultant,LSS Consultant roles. Minitab usage. Expanding capacity.
Austria,8,Mondi Group,Paper/Pkg,Vienna,26000,9,10,8,8,8,43,1-10,22,3,HOT,CI Engineer,MyMondi digital platform. CI Engineer roles.
Austria,9,AVL List,Automotive,Graz,11500,9,9,8,9,8,43,1-10,22,3,HOT,Azure AI/DevOps,OpEx focus. Azure AI pilot. Test data volumes.
Austria,10,Sandoz Austria,Pharma,Kundl,4000,9,8,9,8,8,42,1-10,21,3,HOT,Post-Novartis window,Biz Process Excellence Specialist. Independent IT buildup.
Austria,11,ZKW Group,Automotive,Wieselburg,10000,9,9,7,8,8,41,1-10,21,3,HOT,LG subsidiary push,Patent leader. High-tech LED manufacturing.
Austria,12,Palfinger,Machinery,Bergheim,12350,9,9,7,9,7,41,1-10,21,3,HOT,Azure PALSHOW,Lean Management Leading Company award. Azure platform.
Austria,13,Sappi Austria,Paper,Gratkorn,0,8,8,8,9,7,40,1-10,20,3,HOT,Honeywell+Azure,Honeywell virtualized control platform.
Austria,14,Greiner AG,Materials,Kremsmünster,11000,8,9,8,8,7,40,1-10,20,3,HOT,Global Dir OpEx,Global Director OpEx role. Digitization trainee program.
Austria,15,AMAG Austria Metall,Steel,Ranshofen,2200,8,7,8,9,7,39,1-10,20,3,WARM,Azure SQL Smart,ibaPDA + Azure SQL. Smart factory.
Austria,16,Takeda Austria,Pharma,Vienna,4500,9,8,7,8,7,39,1-10,20,3,WARM,OpEx Champion,OpEx Champion role. Agile/Lean coaching.
Austria,17,Wienerberger,Materials,Vienna,19000,8,9,7,7,7,38,1-10,19,3,WARM,LSS BB programs,LSS Black Belt programs. Digital building solutions.
Austria,18,AMS-OSRAM,Electronics,Premstätten,20000,8,10,7,8,5,38,1-10,19,3,WARM,GenAI ready,GenAI implementation. Strong IT/Cloud.
Austria,19,Rosenbauer,Machinery,Leonding,4100,8,7,7,8,7,37,1-10,19,3,WARM,Digital fire,System provider. Digital applications.
