Country,Rank,Company,Industry,Location,Employees,Revenue_EUR_M,S1_OpEx,S2_Size,S3_Minitab,S4_Azure,S5_Reach,Total_Score,Market_Tier,Segment,Pitch_Angle,Notes
Germany,1,Harting Tech,Electronics,Espelkamp,6000,1000,5,4,5,5,5,24,2,HOT,Azure Beachhead,Explicit Azure AI case study. Industrial connectivity.
Germany,2,Elmos Semiconductor,Electronics,Dortmund,1300,575,5,5,5,4,4,23,2,HOT,Zero-defect auto,AEC-Q100 standards. Digital fab.
Germany,3,NETZSCH Group,Machinery,Selb,4000,850,4,5,4,5,5,23,2,HOT,Azure Beachhead,Explicit Azure Data Lake case study.
Germany,4,Stratec SE,MedTech,Birkenfeld,1500,270,5,5,5,4,4,23,2,HOT,GMP/Validation,IVD analyzers. FDA/ISO regulated.
Germany,5,Witzenmann,Automotive,Pforzheim,4600,750,5,5,5,4,4,23,2,HOT,IATF 16949,Flexible metal elements. Aero/Auto.
Germany,6,Oechsler AG,Plastics/Auto,Ansbach,3000,500,5,5,5,4,3,22,2,HOT,Precision molding,3D printing innovator. Global Quality.
Germany,7,Sennheiser,Electronics,Wedemark,2800,700,4,5,4,4,5,22,2,HOT,Precision audio,Manufacturing engineering focus.
Germany,8,Weidmüller,Electronics,Detmold,6000,1100,5,4,5,4,4,22,2,HOT,Smart Factory,Industrial connectivity. OpEx team.
Germany,9,Bionorica,Pharma,Neumarkt,1800,400,5,5,5,4,3,22,2,HOT,GMP/Pharma,Phytopharmaceuticals. Regulated.
Germany,10,SÜDPACK,Packaging,Ochsenhausen,1700,600,5,5,4,4,4,22,2,HOT,Med packaging,High-perf films. Pharma-grade.
Germany,11,Coroplast Group,Automotive,Wuppertal,7000,700,5,5,5,3,3,21,2,HOT,IATF 16949,Wiring harnesses. High volume.
Germany,12,Basler AG,Electronics,Ahrensburg,1000,250,4,5,4,4,4,21,2,HOT,Vision/tech,Vision sensors. High tech mfg.
Germany,13,Poppe + Potthoff,Automotive,Werther,1600,250,5,5,5,3,3,21,2,HOT,IATF 16949,Precision steel tubes. Diesel injection.
Germany,14,Kern-Liebers,Automotive,Schramberg,7000,800,5,5,5,3,3,21,2,HOT,IATF 16949,Springs/Stamping. LSS Master BB.
Germany,15,Scherdel,Automotive,Marktredwitz,6000,850,5,5,5,3,3,21,2,HOT,IATF 16949,Springs/Bending. Quality Planning.
Germany,16,Eckert & Ziegler,MedTech,Berlin,900,250,5,5,5,3,3,21,2,HOT,Radiation safety,Isotope technology. Very High regulation.
Germany,17,Lohmann GmbH,Chemicals,Neuwied,1800,300,4,5,4,3,4,20,2,HOT,Innovation,Bonding processes. Digital transformation.
Germany,18,Amazonen-Werke,Machinery (Agri),Hasbergen,2500,800,4,5,4,3,4,20,2,HOT,Lean Production,Agricultural machinery.
Germany,19,Mennekes,Electronics,Kirchhundem,1200,200,5,5,4,3,3,20,2,HOT,E-Mobility,High volume/reliability plugs.
Germany,20,Brita GmbH,Consumer,Taunusstein,2200,650,3,5,3,4,5,20,2,HOT,Process consistency,Filter manufacturing.
Germany,21,Aerzen,Machinery,Aerzen,2500,500,4,5,3,4,4,20,2,HOT,Global process,Blowers/Compressors.
Germany,22,DSI Aerospace,Aerospace,Bremen,100,50,5,5,5,3,2,20,2,HOT,Space reliability,Mass storage for space. Very High reg.
Germany,23,microfab,Microsystems,Bremen,100,50,5,5,5,3,2,20,2,HOT,MEMS precision,Silicon machining/Sensors.
Germany,24,Acandis,MedTech,Pforzheim,200,60,5,5,5,3,2,20,2,HOT,Stroke devices,Stents/Coils. Very High regulation.
Germany,25,Medios AG,Pharma,Berlin,500,1600,5,3,4,4,4,20,2,HOT,GMP compounding,Specialty Pharma.
Germany,26,4JET,Machinery,Alsdorf,150,60,5,5,4,3,3,20,2,HOT,Laser precision,Laser surface processing.
Germany,27,Schreiner Group,Packaging,Oberschleißheim,1200,200,4,5,4,3,3,19,2,WARM,Pharma labels,Functional labels. Pharma-grade.
