Country,Company,Type,Focus,Location,Notes
Netherlands,Lean Six Sigma Groep,LSS Training,Practical Do It Yourself focus,Various,Strong in healthcare & industry
Netherlands,Bureau Tromp,LSS Training,Agile Lean & Innovation,Various,Scrum + Lean mixing
Netherlands,Symbol,LSS Training,High-tech & automotive IATF 16949,Eindhoven region,Heavily technical — priority partner
Netherlands,Lean Six Sigma Partners (LSSP),LSS Training,Consultancy & Training hybrid,Various,Change management focus
Netherlands,The Lean Six Sigma Company,LSS Training,Large international certifier ISO 18404,Various,Certification standards
Netherlands,Holland Innovative,Consultancy,DfSS & Reliability Engineering Brainport,Eindhoven,Deeply embedded in Brainport — priority
Netherlands,CQM,Consultancy,Data science & math for manufacturing,Eindhoven,ASML and Philips clients
Netherlands,PQR,Consultancy,IT infrastructure / Azure,Various,Deployment / Azure alignment
Netherlands,FME,Association,Tech industry mobilization 2200+ members,The Hague,Essential access
Netherlands,Brainport Industries,Association,High-tech supplier network,Eindhoven,Target-rich ASML supply chain
Netherlands,Holland High Tech,Association,Top sector Systems & Materials,Various,Government-backed
Netherlands,Mikrocentrum,Association,Knowledge center & event organizer,Eindhoven,High-tech industry events
Netherlands,VNO-NCW,Association,General employer confederation,The Hague,Macro trends access
