Country,Company,Type,Focus,Location,Notes
Norway,Lean Tech AS,LSS Training,Yellow/Green/Black Belt + Minitab training,Lillestrøm,Potential partner OR competitor — active in Minitab space
Norway,Aksena,LSS Training,Green/Black Belt practical Six Sigma,—,Good alignment with VariScout value prop
Norway,AVO Consulting,Consultancy,RPA + AI + process digitization,Bergen/Oslo,Bridge between process improvement and technology
Norway,Storaas Quality Consulting,Consultancy,Quality mgmt + ISO compliance,Lommedalen,Boutique: mentoring and quality culture
Norway,Karabin,Consultancy,Benefit Realization + ops streamlining,—,Public + private sector
Norway,Norsk Industri,Association,Umbrella for all manufacturing,—,3000+ member companies
Norway,NCE Raufoss,Cluster,Automotive/defense manufacturing,Raufoss,Gateway to Nammo + Benteler + Hexagon
Norway,NCE Seafood Innovation Cluster,Cluster,Seafood technology,Bergen,Gateway to Mowi + Lerøy + SalMar
Norway,Lean Forum Norge,Association,Lean practitioners network,—,Annual Lean Forum Konferansen
Norway,NFK,Association,Quality control + risk management,—,Seminars + training
Norway,Tekna,Association,Technical professionals,—,95000+ members
