Country,Company,Type,Focus,Location,Notes
Ireland,SQT Training,LSS Training,Dominant industry player heavy Minitab courses,Limerick/Dublin,Key partner or displacement target
Ireland,University of Limerick (UL),LSS Training,Specialist Diploma in Quality Management,Limerick,Feeds graduates into MedTech sector
Ireland,ATU Sligo,LSS Training,Online Certificate in Lean Sigma Quality,Sligo,Includes Minitab training — student pipeline
Ireland,Leading Edge Group,LSS Training,Life Sciences and Food sector,Cork,Strong regional presence
Ireland,FivePharma,Consultancy,Niche quality consulting Pharma/Biotech,Kilkenny,Perfect for VariScout intro to quality teams
Ireland,Cilatus Biopharma,Consultancy,CMC consulting sets up mfg processes,Various,Ideal time to introduce variation tools
Ireland,Grant Thornton Ireland,Consultancy,Operational Excellence advisory arm,Dublin,Full advisory suite
Ireland,BearingPoint Ireland,Consultancy,Operations and Organization Design,Dublin,Digital manufacturing focus
Ireland,Lean Business Ireland (LBI),Association,Central OpEx community hub,Dublin,Annual conference = highest ROI marketing
Ireland,Irish Medtech Association (Ibec),Association,Voice of MedTech sector,Dublin,Galway/Limerick/Sligo cluster
Ireland,BioPharmaChem Ireland (Ibec),Association,Pharma industry body,Dublin,Cork/Dublin/Limerick cluster
Ireland,Dairy Industry Ireland (Ibec),Association,Dairy cooperatives,Dublin,Tirlan/Dairygold/Kerry access
Ireland,PMTC (UL),Research Centre,Pharmaceutical Manufacturing Technology,Limerick,MSD looks to PMTC for tech pilots
