Country,Company,Type,Focus,Location,Notes
Denmark,Lean Akademiet,LSS Training,Yellow/Green/Black Belt accredited,Denmark,Practical tools and data understanding
Denmark,Storm - House of Six Sigma,LSS Training,Strategic mgmt + certified LSS + DfSS,Denmark,Potential partner — Design for Six Sigma specialty
Denmark,Center for Lean,LSS Training,Lean competencies + KPI design,Denmark,Organizational efficiency focus
Denmark,Invensis Learning,LSS Training,Green/Black Belt certification,Denmark,Data analysis and quality management
Denmark,Anexas,LSS Training,Process excellence + TRIZ + Six Sigma,Copenhagen,Global provider with local ops
Denmark,Spoclearn,LSS Training,Green Belt + root cause analysis,Denmark,Process control focus
Denmark,Global 6Sigma,LSS Training,White → Master Black Belt + Minitab,Denmark,COMPETITOR alert — Minitab-specific courses!
Denmark,Emendo Improvement,Consultancy,Lean/Six Sigma + digital innovation,Denmark,Waste and variation elimination
Denmark,UNITY Consulting,Consultancy,Digital R&D + engineering OpEx,Denmark,Manufacturing + energy
Denmark,Zillion Consulting,Consultancy,Lean Shop Floor + process stabilization,Denmark,Good partner candidate
Denmark,LSV Group,Consultancy,Lean Workout + process analytics tools,Denmark,Waste reduction focus
Denmark,Process Performance,Consultancy,LSS certification + leadership dev,Kolding,Tailored solutions
Denmark,BCG Transform,Consultancy,Performance improvement + tech transformations,Denmark,C-level clients
Denmark,Strategy& (PwC),Consultancy,Manufacturing excellence + operating model,Denmark,Practical strategists
Denmark,Faber Infinite,Consultancy,Muda/Mura/Muri elimination,Denmark,Daily work management
Denmark,Confederation of Danish Industry (DI),Association,Largest business organization,Denmark,18000+ enterprises
Denmark,DI Manufacturers,Association,Industrial manufacturing sector federation,Denmark,Within DI
Denmark,TEKNIQ Arbejdsgiverne,Association,Mechanical/electrical contractors,Denmark,4300 members
Denmark,Danish Employers' Assoc (DA),Association,Umbrella sectoral organization,Denmark,11 major associations
Denmark,Lean Construction Institute,Association,OpEx for built environment,Denmark,Construction Lean focus
