Year,Month,Total,Russian Federation,Germany,Sweden,United Kingdom,China and Hong Kong,France,United States,Japan,Netherlands,Estonia,Norway,Switzerland,Spain,Italy,Poland,Denmark,Afghanistan,Albania,Algeria,United Arab Emirates,Argentina,Australia,Bahrain,Belgium,Brazil,Bulgaria,Chile,Egypt,South Africa,Philippines,Georgia,Hong Kong,Indonesia,India,Iran,Ireland,Iceland,Israel,Austria,Canada,Kazakhstan,Kenya,China,Colombia,Democratic People'S Republic Of Korea,"Korea, Republic Of",Greece,Croatia,Kuwait,Cyprus,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Morocco,Mexico,Nigeria,Pakistan,Peru,Portugal,Romania,Saudi Arabia,Sierra Leone,Singapore,Slovakia,Slovenia,"Taiwan, Province Of China",Tanzania,Thailand,Czech Republic,Turkey,Ukraine,Hungary,Uruguay,New Zealand,Belarus,Venezuela,Vietnam,Other
1995,Jan,165815,38549,21376,19925,11659,798,6793,7096,5518,4475,6114,6265,4500,1665,5562,1190,3937,0,28,9,13,79,602,5,2293,425,231,9,114,57,76,103,133,22,267,95,261,220,232,940,958,70,23,665,4,27,284,1325,197,11,57,938,5,76,634,10,31,14,50,8,8,33,19,385,243,118,4,85,23,28,132,23,98,625,297,191,642,1,52,114,69,31,5571
1995,Feb,164376,28815,26720,19178,11793,955,8848,7839,6060,6097,4221,7712,6368,2019,3536,1251,3824,8,4,31,4,140,461,5,1151,255,299,32,88,62,205,119,131,26,331,182,327,246,255,999,1034,77,3,824,8,20,423,433,253,3,17,910,3,73,634,73,146,9,77,59,2,49,20,330,242,52,5,316,223,86,243,18,536,648,391,348,826,0,58,244,49,2,4012
1995,Mar,204362,37310,24867,26823,13405,1312,9749,12045,5895,8949,6109,10718,5383,4020,5752,1658,5376,2,15,18,14,50,970,2,1620,553,243,82,143,153,112,168,94,103,409,134,342,463,206,1596,1704,34,2,1218,16,17,510,624,169,4,27,1149,13,62,821,56,71,0,98,28,15,25,13,544,38,116,23,158,170,268,235,15,400,722,440,207,867,4,56,71,122,27,6340
1995,Apr,153231,27481,13910,24028,11189,1646,5025,8738,4160,4179,5685,7301,3490,4590,3394,1487,4247,0,7,129,5,43,825,2,1177,304,211,50,88,138,63,117,58,176,463,110,407,266,376,1576,1647,9,11,1588,16,27,374,897,225,1,3,1072,3,37,612,132,66,0,131,50,2,33,36,225,141,99,0,149,82,60,122,6,648,752,191,149,495,42,69,45,34,46,5763
1995,May,225896,27335,25371,44874,16805,2451,7128,15592,6226,6378,6193,8545,4375,2012,6216,2070,7223,0,18,74,10,87,1561,15,1824,442,208,82,346,201,131,382,201,335,601,200,533,645,489,2912,1613,29,16,2250,8,46,1006,869,382,12,30,996,13,54,1165,69,126,0,62,56,16,58,62,337,333,112,15,339,174,283,672,15,877,1108,471,110,1202,19,368,107,114,138,10073
1995,Jun,504724,30337,167315,65119,23036,3227,14823,30198,15221,19430,7250,17580,13655,4408,11597,3659,12050,1,53,63,3,200,4302,1,4226,1084,652,128,251,568,122,496,410,386,1082,386,811,990,537,5344,2860,16,67,2817,47,69,2492,1715,298,373,37,1083,39,115,902,77,286,12,204,225,21,31,86,708,709,118,16,635,393,328,1569,25,972,1729,885,170,2161,21,591,241,123,157,18300
1995,Jul,684431,33809,204215,125835,20781,3094,23495,31857,18654,22248,7296,33335,28213,10863,16593,9985,14544,2,119,107,496,153,5083,0,7736,1615,447,51,164,318,150,352,885,352,857,322,563,918,2792,8701,3173,17,128,2209,96,31,2309,2132,403,84,43,1381,50,32,963,128,97,89,58,114,80,76,47,998,518,157,105,201,256,659,3142,16,1008,3150,946,291,4038,36,536,59,45,13,17517
1995,Aug,525355,42608,93216,73852,26515,3770,18428,32097,18939,20440,8592,19971,16805,17501,28868,6639,11983,0,167,23,129,256,4867,14,5029,1601,214,139,271,358,149,515,671,537,970,407,775,1204,2992,5446,4642,12,93,3099,93,185,1818,3038,356,86,201,1867,32,53,831,383,256,45,49,355,91,660,178,1811,1057,147,18,258,508,849,2225,50,575,3493,680,309,3227,764,1311,108,161,16,22407
1995,Sep,233242,29849,23097,39974,18159,2651,6184,18008,9874,6546,5745,10569,6161,3565,5625,1459,8223,1,100,61,17,76,1598,0,1943,812,269,90,160,454,42,204,267,353,1038,248,468,768,429,1650,2682,39,215,2384,80,38,1086,736,104,45,28,920,49,105,607,121,298,19,45,95,22,177,48,776,238,107,260,291,82,208,830,21,424,1764,508,150,1467,0,269,377,82,7,8701
1995,Oct,177991,30300,13388,30598,14847,2757,4669,12281,6786,4804,5605,7423,2964,2264,3715,1566,6117,3,78,79,6,56,1264,0,1463,325,288,43,90,160,108,82,55,131,823,362,365,396,262,1417,1560,25,1,2702,82,28,509,490,74,27,15,1258,14,59,677,51,142,3,43,25,14,39,83,352,329,93,21,259,92,132,513,4,457,1093,448,130,982,2,139,107,55,78,6844
