Country,Company,Type,Focus,Location,Notes
Switzerland,inspire AG,LSS Training,ETH Zurich transfer platform,Zurich,Deep in Swiss high-tech manufacturing
Switzerland,SAQ-QUALICON,LSS Training,Swiss Association for Quality training arm,Olten/Zurich,Six Sigma Green Belt courses
Switzerland,International Six Sigma Institute,LSS Training,Certification body,Wollerau,International HQ in low-tax canton
Switzerland,Leancom GmbH,LSS Training,Lean management in production,Zug,—
Switzerland,SGO Business School,LSS Training,Lean Manager CAS courses,Glattbrugg,—
Switzerland,Staufen.Inova,Consultancy,Lean Management leader in CH,Wollerau,—
Switzerland,Porsche Consulting,Consultancy,Swiss industrial manufacturing,Zurich,—
Switzerland,PwC Switzerland,Consultancy,OpEx in Manufacturing practice,Zurich,Dedicated practice
Switzerland,LHH (Lee Hecht Harrison),Consultancy,Places CI Leads,Various,Deep OpEx talent network
Switzerland,Swissmem,Association,Mechanical & Electrical Engineering Industries,Zurich,Innovation + Digitalization divisions — crucial
Switzerland,SAQ,Association,Certifying body for quality professionals,Bern,National quality authority
Switzerland,Swiss Biotech Association,Association,Life Sciences cluster,Basel,—
Switzerland,Swiss Medtech,Association,Medical Device cluster,Bern,—
