Country,Rank,Company,Industry,Location,Employees,S1_OpEx,S2_Size,S3_Minitab,S4_Azure,S5_Reach,Total_Score,Market_Tier,Segment,Pitch_Angle,Notes
Ireland,1,Medtronic,MedTech,Galway,5555+,5,5,5,5,5,25,4,HOT,Global CoE for OpEx,"Massive Minitab spend; Azure; largest private MedTech employer"
Ireland,2,Boston Scientific,MedTech,Galway/Cork,5000+,5,5,5,5,4,24,4,HOT,Minitab/Engage heavy user,"Largest Life Sci employer; Eileen profile heavy Minitab"
Ireland,3,Tirlan (Glanbia),Dairy,Kilkenny,4500,4,5,4,5,5,23,4,HOT,Azure migration case study,"Operation Biodiversity; massive dairy volume"
Ireland,4,Pfizer,Pharma,Cork/Dublin,4000,5,5,4,4,4,22,4,HOT,Pfizer CentreOne agility,"High digital maturity; contract arm needs agility"
Ireland,5,Kerry Group,Food,Tralee/Naas,10000+,4,5,4,5,4,22,4,HOT,Excel Centers process opt,"Azure data lakes; huge variation challenges"
Ireland,6,MSD (Merck),Pharma,Tipperary/Carlow,3000+,5,5,4,4,4,22,4,HOT,$3B invest Stable Ops,"Heavy digital transformation focus"
Ireland,7,Abbott,MedTech,Sligo/Longford,4000+,5,5,4,4,4,22,4,HOT,TPM Quality Project Lead,"Complex supply chain variance"
Ireland,8,Stryker,MedTech,Cork,3500,5,5,4,4,4,22,4,HOT,Additive mfg variation,"3D printing variation analysis; high need"
Ireland,9,Johnson & Johnson,MedTech,Limerick/Cork,3000+,5,5,4,4,4,22,4,HOT,Lighthouse I4.0 sites,"Vision Care/DePuy; Industry 4.0 pioneer"
Ireland,10,Dairygold,Dairy,Cork,3500,4,4,4,5,5,22,4,HOT,Lean culture dairy,"Azure via partners; high volume"
Ireland,11,Smurfit Westrock,Packaging,Dublin,5000+,4,5,3,5,5,22,4,HOT,Paper process variation,"Global HQ; Better Planet Packaging"
Ireland,12,Irish Distillers,Beverage,Cork/Dublin,700,4,4,4,4,5,21,4,HOT,Batch variation sensitivity,"People Systems Manager roles; high value"
Ireland,13,Intel Ireland,Electronics,Leixlip,5000,5,5,4,4,3,21,4,HOT,Copy Exactly methodology,"Variation analysis = #1 priority"
Ireland,14,Aurivo,Dairy,Sligo,800,4,3,4,4,5,20,4,HOT,Green Plus case study,"Deep CI/Sustainability tracking; ISO 50001"
Ireland,15,Aerogen,MedTech,Galway,600,4,3,5,4,4,20,4,HOT,Nebulizer precision AeroFact,"Vibrating mesh aperture tolerance; R&D data"
Ireland,16,Teleflex,MedTech,Athlone,2000,4,4,4,4,4,20,4,HOT,Multi-site quality demands,"Urology/anesthesia; Minitab in job posts"
Ireland,17,Lufthansa Technik,Aviation,Shannon,1200,5,4,3,4,4,20,4,HOT,Turbine MRO pure OpEx,"Lean is DNA of MRO sector"
Ireland,18,Analog Devices,Electronics,Limerick,1500,4,5,4,3,4,20,4,HOT,Best Managed silicon mfg,"Variation-sensitive semiconductor fab"
Ireland,19,Kingspan,Build Mat.,Cavan,3000+,4,5,3,4,4,20,4,HOT,Planet Passionate insulation,"Density control in insulation mfg"
Ireland,20,Integer,MedTech,New Ross/Galway,1000,4,4,5,4,3,20,4,HOT,CDMO scrap reduction,"Thin margins; scrap = profitability"
Ireland,21,WuXi Biologics,Pharma,Dundalk,1500,4,4,4,4,4,20,4,HOT,OpEx Award 2025 winner,"Massive single-use bioreactor facility"
Ireland,22,Regeneron,Pharma,Limerick,1000,4,5,4,3,4,20,4,HOT,Program Ops Leader roles,"High-growth biotech hub"
